dataset,algorithm,ensemble_size,cores,instances,time,acc,prec,recall,change
elecNormNew,OzaBagExecutorMAXChunk,25,4,26501.0,119.8759994506836,78.9132075471698,80.4388901454676,76.72133931828286,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,294001.0,120.00199890136719,79.29523809523809,63.272586441840076,50.16971800856071,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,81551.0,120.00599670410156,84.47087676272226,66.31834219526395,68.36813364577546,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,101001.0,120.5989990234375,89.94653465346535,74.99326643128086,69.53109421886342,0
airlines,OzaBagExecutorMAXChunk,25,4,201251.0,120.00700378417969,64.44670807453417,58.649310817743824,56.09434159302782,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,91001.0,120.01100158691406,93.38241758241759,71.78250419526185,54.051093364429725,0
airlines,LBagExecutorMAXChunk,25,4
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,9001.0,124.89700317382812,69.14444444444445,63.98866686313631,58.321337885056124,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,27001.0,120.22699737548828,89.32962962962962,89.32778714266883,88.7964497004785,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,86001.0,120.0,93.44186046511628,76.44344076673617,51.59386948067554,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,26501.0,119.87699890136719,78.19622641509434,79.46179829858133,76.0604011638517,0
covtypeNorm,LBagExecutorMAXChunk,25,4,81501.0,120.11100006103516,90.28466257668711,71.10193503485277,73.22516549553386,162.0
airlines,OzaBagASHTExecutorMAXChunk,25,4,167501.0,120.13500213623047,65.24059701492537,59.43700505034586,56.43689776436263,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,26501.0,119.87699890136719,90.17735849056604,90.2481663663589,89.6196915876342,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,31001.0,121.4540023803711,92.86451612903225,73.10688595546779,72.91438809381532,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,88501.0,119.96399688720703,93.48813559322033,77.50942744476288,52.351540013042275,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,8501.0,123.31199645996094,65.43529411764706,61.15676126285254,58.97929553969492,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,91501.0,119.97799682617188,93.53114754098361,75.76912111203158,53.70994070708278,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,294501.0,120.08200073242188,76.6672325976231,62.8461266044255,48.376679635718304,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,36751.0,120.177001953125,70.51972789115646,62.50715210681934,55.24505977212273,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,26501.0,119.85900115966797,86.15849056603774,86.28116453853123,85.31967077624479,0
GMSC,OzaBagExecutorMAXChunk,25,4,91001.0,119.99199676513672,93.4043956043956,72.3031815229239,53.06643669111624,0
