dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,94616.0,54.209999084472656,909.0,1745.3607177734375,70.49893162393163
GMSC,LBagExecutorMAXChunk,25,4,135322.0,80.05699920654297,798.0,1690.3206787109375,93.53286297809134
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,53165.0,71.35399627685547,2358.0,745.087890625,76.9667616334283
airlines,OzaBagASHTExecutorMAXChunk,25,4,47600.0,122.07599639892578,4564.0,389.9210510253906,64.44374342797056
airlines,OzaBagAdwinExecutorMAXChunk,25,4
elecNormNew,LBagExecutorMAXChunk,25,4,40050.0,39.94499969482422,1757.0,1002.6286010742188,87.125
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45270.0,38.72700119018555,239.0,1168.951904296875,76.18855218855218
airlines,LBagExecutorMAXChunk,25,4
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,7200.0,123.26100158691406,28939.0,58.412635803222656,65.8881118881119
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,90899.0,120.65799713134766,2157.0,753.3607788085938,93.58273381294964
GMSC,OzaBagExecutorMAXChunk,25,4,145156.0,39.64099884033203,388.0,3661.764404296875,93.30753138075313
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,12100.0,123.48100280761719,16351.0,97.99078369140625,64.77178423236515
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,40850.0,51.696998596191406,2045.0,790.1812744140625,88.28676470588235
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,40400.0,88.8280029296875,3916.0,454.8115234375,89.69764560099132
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,31597.0,121.05699920654297,6361.0,261.00927734375,93.11367380560131
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,44700.0,38.744998931884766,140.0,1153.697265625,85.07278835386339
GMSC,OzaBagASHTExecutorMAXChunk,25,4,147455.0,41.05799865722656,393.0,3591.383056640625,93.17539089055064
covtypeNorm,LBagExecutorMAXChunk,25,4,43750.0,75.80999755859375,2568.0,577.1006469726562,92.82608695652173
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,134415.0,50.071998596191406,621.0,2684.4345703125,93.55337608449642
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,46650.0,65.46600341796875,2373.0,712.5836181640625,89.53648068669527
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,123250.0,84.6520004272461,1267.0,1455.9608154296875,93.50243506493506
airlines,OzaBagExecutorMAXChunk,25,4,168805.0,95.57599639892578,858.0,1766.1861572265625,60.059916117435584
elecNormNew,OzaBagExecutorMAXChunk,25,4,44450.0,44.15299987792969,1101.0,1006.7266235351562,77.52252252252252
covtypeNorm,OzaBagExecutorMAXChunk,25,4,101400.0,50.060001373291016,528.0,2025.5692138671875,72.20713577799802
