dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,294501.0,120.08200073242188,200.0,2452.4990234375,76.6672325976231
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,81551.0,120.00599670410156,36.0,679.5576782226562,84.47087676272226
airlines,OzaBagASHTExecutorMAXChunk,25,4,167501.0,120.13500213623047,356.0,1394.2730712890625,65.24059701492537
airlines,OzaBagAdwinExecutorMAXChunk,25,4,36751.0,120.177001953125,814.0,305.8072509765625,70.51972789115646
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,26501.0,119.87699890136719,624.0,221.06826782226562,78.19622641509434
airlines,LBagExecutorMAXChunk,25,4
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,9001.0,124.89700317382812,6854.0,72.0673828125,69.14444444444445
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,88501.0,119.96399688720703,628.0,737.7296752929688,93.48813559322033
GMSC,OzaBagExecutorMAXChunk,25,4,91001.0,119.99199676513672,396.0,758.3922729492188,93.4043956043956
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,8501.0,123.31199645996094,3585.0,68.93895721435547,65.43529411764706
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,27001.0,120.22699737548828,1592.0,224.58349609375,89.32962962962962
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,26501.0,119.87699890136719,1929.0,221.06826782226562,90.17735849056604
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,31001.0,121.4540023803711,1909.0,255.2489013671875,92.86451612903225
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,26501.0,119.85900115966797,667.0,221.10145568847656,86.15849056603774
GMSC,OzaBagASHTExecutorMAXChunk,25,4,91001.0,120.01100158691406,202.0,758.2721557617188,93.38241758241759
covtypeNorm,LBagExecutorMAXChunk,25,4,81501.0,120.11100006103516,719.0,678.54736328125,90.28466257668711
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,86001.0,120.0,449.0,716.6749877929688,93.44186046511628
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,101001.0,120.5989990234375,584.0,837.4945068359375,89.94653465346535
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,91501.0,119.97799682617188,533.0,762.648193359375,93.53114754098361
airlines,OzaBagExecutorMAXChunk,25,4,201251.0,120.00700378417969,148.0,1676.9937744140625,64.44670807453417
elecNormNew,OzaBagExecutorMAXChunk,25,4,26501.0,119.8759994506836,596.0,221.0701141357422,78.9132075471698
covtypeNorm,OzaBagExecutorMAXChunk,25,4,294001.0,120.00199890136719,200.0,2449.967529296875,79.29523809523809
